state,enact_year,contrib_agri,valueofagsect,agtaxcredit,interstate_compact_on_agricultur,ig_ag,agriculture_ig,agemploy,code300,union_density,sals,gagexem,st,stateno,state_fips,state_icpsr,poptotal,gsppcap,incomepcap,unemployment,povrate,govparty_c,innovatescore_boehmkeskinner,soc_capital,partisan_knowledge_scale,persfree,legprofscore,acounty,amuni,atown,local_gov_total,total_cases,log_contrib_agri,log_valueofagsect,has_cspp_data,regime
Delaware,2008,41055,303133,NA,NA,NA,9,378472,NA,13.5,1,1,DE,8,10,11,873092,61460,40549,4.9,9.6,0,0.04558536734693878,-0.07638725100000002,1.58,-1.11827505725,0.15933333333333333,3,56.5945945945946,0,59.5945945945946,0,10.622667910142889,12.621926932078205,TRUE,Experimentation
Georgia,2008,415955,3632628,NA,NA,NA,49,402982,NA,3.700000048,0,1,GA,10,13,44,9685744,39503,35863,6.2,15.5,1,0.04101744897959183,-0.9079720713608694,1.73,3.5676423902500005,0.12166666666666666,156.35135135135135,533.3513513513514,0,689.7027027027027,12,12.938332360315348,15.10546691124553,TRUE,Experimentation
Louisiana,2008,41400,1292827,NA,NA,NA,31,380782,0,4.699999809,0,1,LA,18,22,45,4410796,41197,37944,4.9,18.2,1,0.05657769387755102,-0.7085236435652174,1.6,-5.212939793,0.141,60.810810810810814,301.6756756756757,0,362.4864864864865,18,10.631036159813405,14.072341851431872,TRUE,Experimentation
Utah,2008,46352.08984,635815,NA,NA,NA,8,379262,NA,5.800000191,0,1,UT,44,49,67,2736424,38541,34034,3.6,7.6,1,0.04065130612244898,0.2729768966086957,2.08,3.16419576175,0.07133333333333335,29,230.24324324324328,0,259.2432432432432,1,10.744021658219197,13.362662919505174,TRUE,Experimentation
Montana,2009,NA,1077394,NA,NA,NA,20,376042,0,13.899999619999999,0,NA,MT,26,30,64,983982,31979,33708,6.8,13.5,0,0.04292377551020408,0.8901918690434784,1.71,1.959771356,0.08766666666666667,54,127.8108108108108,0,181.8108108108108,4,NA,13.890055720250746,TRUE,Experimentation
Tennessee,2009,NA,1058629,NA,NA,NA,14,385192,0,5.099999905,1,NA,TN,42,47,54,6306019,35036,33802,10.5,16.5,0,0.0444638775510204,-1.1297479478260868,1.42,8.31364486175,0.12733333333333333,92.97297297297295,339.27027027027026,0,432.2432432432432,8,NA,13.872485232703006,TRUE,Experimentation
Missouri,2010,555396.875,3403344,NA,NA,NA,40,390532,NA,9.899999619,0,1,MO,25,29,34,5995974,36243,36965,9.6,14.8,0,0.03360775510204081,0.25313460273913047,1.63,7.29669265425,0.21266666666666667,114,936.7837837837836,320.3243243243243,1371.108108108108,2,13.227438227263566,15.04026903565,TRUE,Experimentation
South Carolina,2010,476779.7813,786815,NA,NA,NA,10,385072,NA,4.599999905,1,1,SC,40,45,48,4635649,31304,32460,11.2,17,1,0.03354424489795919,-1.574914151826087,1.7,7.66768520575,0.18000000000000002,46,267.7567567567568,0,313.7567567567568,1,13.07480998884255,13.575748429880642,TRUE,Experimentation
South Dakota,2010,94953.0625,3559585,NA,NA,NA,23,378652,NA,5.599999905,0,1,SD,41,46,37,816166,44425,39593,5,13.2,1,0.03129118367346939,0.6749252239130434,1.72,-6.25624600625,0.07766666666666666,64.91891891891892,309.9189189189189,961.8108108108108,1336.6486486486488,2,11.461137969538088,15.085154522999341,TRUE,Experimentation
Arkansas,2011,7572.399902,2364600,NA,NA,NA,31,390132,NA,4.199999809,NA,NA,AR,4,5,42,2940667,NA,33856,8.3,18.7,0,0.04206475510204082,-0.7211238401304348,1.57,5.7026631105,0.10833333333333334,75,487.3783783783784,0,562.3783783783783,2,8.932265324194018,14.67611943241115,TRUE,Convergence
Indiana,2011,NA,5361440,NA,NA,NA,30,387142,NA,11.19999981,NA,NA,IN,14,18,22,6516528,NA,37646,9.1,15.6,1,0.04402967346938775,-0.23293414404347823,1.44,12.6614268185,0.117,91,566.3513513513514,1007.7837837837836,1665.1351351351352,9,NA,15.494743153681648,TRUE,Convergence
North Dakota,2011,NA,3183473,NA,NA,NA,27,376202,NA,6.300000191,NA,NA,ND,34,38,36,685225,NA,47966,3.5,9.9,1,0.03561004081632653,0.6990703986956521,1.64,4.425901607,0.062,53,361.7567567567568,1342.4054054054054,1757.162162162162,1,NA,14.973483297171903,TRUE,Convergence
Alabama,2012,165456.5625,NA,NA,NA,NA,16,394192,NA,NA,NA,1,AL,1,1,41,4822023,NA,35877,8,16.2,1,0.02832589795918367,-1.1766317260869563,1.45,-7.8988537355,0.07433333333333333,67,442.0810810810811,0,509.0810810810811,5,12.016463977114364,NA,TRUE,Convergence
Kentucky,2012,95219,NA,NA,NA,NA,26,387002,NA,NA,NA,1,KY,17,21,51,4380415,NA,35741,8.2,17.9,0,0.03994063265306122,-0.7584694331304348,1.58,5.53547491725,0.10433333333333332,118.67567567567568,424.5675675675675,0,543.2432432432432,9,11.463934780697985,NA,TRUE,Convergence
Maine,2012,14550,NA,NA,NA,NA,21,375632,NA,NA,NA,1,ME,19,23,2,1329192,NA,40276,7.5,12.8,1,0.05633389583333333,1.5343810958695652,1.78,16.50107328,0.12233333333333334,16,22.27027027027027,469.5945945945946,507.8648648648648,2,9.585346272599638,NA,TRUE,Convergence
Mississippi,2012,28950,NA,NA,NA,NA,22,388552,NA,NA,NA,1,MS,24,28,46,2984926,NA,33300,9,22,1,0.02195351020408163,-1.22685211,1.38,-5.1473103005,0.13966666666666666,82,293.13513513513516,0,375.1351351351352,0,10.273325483001141,NA,TRUE,Convergence
Florida,2013,12500,NA,NA,NA,NA,84,420742,NA,NA,NA,1,FL,9,12,43,19552860,NA,40683,7.2,14.9,1,0.04606316326530612,-0.5106699195652173,1.88,2.077962576,0.232,66,396.94594594594594,0,462.94594594594594,1,9.433483923290392,NA,TRUE,Convergence
Idaho,2014,945649.1875,NA,NA,NA,NA,54,382972,NA,NA,NA,0,ID,12,16,63,1634464,NA,37879,4.9,12.4,1,0.03603791836734694,0.7476744272608695,1.93,-4.80769555025,0.14233333333333334,44,199.1891891891892,0,243.1891891891892,1,13.759626941518853,NA,TRUE,Convergence
Wisconsin,2014,1277996.125,NA,NA,NA,NA,39,397002,NA,NA,NA,1,WI,49,55,25,5757564,NA,44930,5.4,10.9,1,0.04760267346938775,0.6573435103478261,1.62,-1.3885430395,0.38233333333333336,72,584.081081081081,1264.972972972973,1921.054054054054,9,14.060803881833642,NA,TRUE,Convergence
Minnesota,2015,2000,NA,NA,NA,NA,64,400882,NA,NA,NA,1,MN,23,27,33,5489594,NA,52336,3.7,7.8,0,0.06041883673469387,1.0757986047826087,2.02,7.79094276675,0.18633333333333332,87,854.2972972972973,1793.6216216216217,2734.9189189189187,7,7.600902459542082,NA,TRUE,Recalibration
Nebraska,2015,NA,NA,NA,NA,NA,36,393842,NA,NA,NA,1,NE,27,31,35,1896190,NA,50704,3,10.3,1,0.05036777551020408,0.8225031772173913,NA,4.5063201915,0.18333333333333335,93,532.9459459459459,453.4324324324325,1079.3783783783783,5,NA,NA,FALSE,Recalibration
Oregon,2015,NA,NA,NA,NA,NA,55,392432,NA,NA,NA,0,OR,37,41,72,4028977,NA,45133,5.6,11.9,0,0.06418712244897959,1.3230837960434785,1.98,6.114634793,0.18166666666666667,36,240.24324324324328,0,276.2432432432432,11,NA,NA,FALSE,Recalibration
Texas,2015,52058.16016,NA,NA,NA,NA,103,435682,NA,NA,NA,1,TX,43,48,49,27469114,NA,46555,4.5,14.7,1,0.04315014285714286,-0.6272664890869565,1.92,-1.846533864,0.20166666666666663,254,1161.162162162162,0,1415.162162162162,10,10.860116837163396,NA,TRUE,Recalibration
Ohio,2016,251602.6875,NA,0,NA,NA,38,399082,NA,NA,NA,NA,OH,35,39,24,11614373,NA,45204,4.9,13.7,1,0.04258373469387756,0.08364536056521739,1.56,0.07129925724999997,0.32466666666666666,88,939.4594594594596,1313.2162162162165,2340.675675675676,0,12.435606485388893,NA,TRUE,Recalibration
New York,2017,NA,NA,NA,NA,NA,61,376962,NA,NA,NA,NA,NY,32,36,13,19849399,NA,65799,4.7,13.4,0,0.06106575510204081,-0.2920951976956522,1.63,-11.25491706425,0.4673333333333334,57,617.2972972972973,929.1351351351352,1603.4324324324325,22,NA,NA,FALSE,Recalibration
Washington,2017,NA,NA,NA,NA,NA,62,403502,NA,NA,NA,NA,WA,47,53,73,7405743,NA,58400,4.8,9.9,0,0.0580318775510204,1.2744830823913045,2.07,6.8053149702499995,0.20233333333333337,39,272.02702702702703,0,311.02702702702703,4,NA,NA,FALSE,Recalibration
Maryland,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MD,20,24,52,6035802,NA,62642,NA,NA,1,0.04466469387755101,-0.10710830891304347,2.06,-10.9039705715,0.21166666666666667,23,154.86486486486487,0,177.86486486486487,1,NA,NA,FALSE,Recalibration
New Hampshire,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,29,33,4,1353465,NA,61399,NA,NA,1,0.03853269387755102,1.5003993876086958,1.96,16.314181785,0.041,10,13,221,244,4,NA,NA,FALSE,Recalibration
West Virginia,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WV,48,54,56,1804291,NA,41154,NA,NA,1,0.03001318367346938,-0.1933380512173913,1.64,12.71898696375,0.13033333333333333,55,231,0,286,1,NA,NA,FALSE,Recalibration
Arizona,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ,3,4,61,7278717,NA,45975,NA,NA,1,0.05115377551020408,0.2956270713913044,1.78,3.77574402425,0.22866666666666668,14.72972972972973,83.10810810810811,0,97.83783783783784,0,NA,NA,FALSE,Recalibration
Iowa,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.03460434693877551,0.9997396747391304,1.84,-0.794792433,0.20000000000000004,99,951.3513513513514,0,1050.3513513513512,0,NA,NA,FALSE,Recalibration
Pennsylvania,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04921171428571428,0.1380894762173913,1.36,1.6189194014999997,0.3223333333333333,66,1018.7567567567568,1547.7027027027027,2632.4594594594596,13,NA,NA,FALSE,Recalibration
Vermont,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.03219159183673469,1.5971483412608694,2.05,10.057428801,0.13033333333333333,14,50.7027027027027,237,301.7027027027027,1,NA,NA,FALSE,Recalibration
